Date,E-waste(g)
2016-06-20,4206370.427667882
2016-06-21,3922972.059601929
2016-06-22,3666022.1775550097
2016-06-23,3591142.2261612285
2016-06-24,3393958.352986973
2016-06-25,3896839.4379529804
2016-06-26,3959135.3188565825
2016-06-27,3896821.1954053887
2016-06-28,3852946.092023275
2016-06-29,3717743.861175812
2016-06-30,3981214.2620685417
2016-07-01,4340495.623976289
2016-07-02,3764301.690503497
2016-07-03,3971081.150469709
2016-07-04,3995389.7110020122
2016-07-05,3644180.555000119
2016-07-06,3955800.977024407
2016-07-07,3764454.8603845737
2016-07-08,3757294.807422283
2016-07-09,3914896.358761586
2016-07-10,4127540.6390845305
2016-07-11,3066064.1164793163
2016-07-12,3025479.0389980404
2016-07-13,2921105.4668987254
2016-07-14,2762229.676363466
2016-07-15,2737093.049503593
2016-07-16,3196056.3664399935
2016-07-17,3214205.976760787
2016-07-18,3144516.4085055916
2016-07-19,2897122.843453536
2016-07-20,2981555.176722055
2016-07-21,2839710.052613941
2016-07-22,2796135.504667545
2016-07-23,2623635.9823289122
2016-07-24,2696168.021551
2016-07-25,2767251.1667884504
2016-07-26,2696442.851988433
2016-07-27,2657980.273260035
2016-07-28,2743778.5793113606
2016-07-29,3012391.629176477
2016-07-30,2775788.8743575993
2016-07-31,2883546.1974129844
2016-08-01,1028859.4752622376
2016-08-02,1118938.4313604366
2016-08-03,1043108.7405497946
2016-08-04,1044782.6275501278
2016-08-05,1088831.60826313
2016-08-06,1152967.046941229
2016-08-07,1006711.1842125134
2016-08-08,962384.6978068214
2016-08-09,973535.5142373067
2016-08-10,964484.4807251688
2016-08-11,919010.5237965962
2016-08-12,1011031.9766094355
2016-08-13,1085461.6594564526
2016-08-14,1061928.2378547678
2016-08-15,1089882.234297089
2016-08-16,971443.0531105254
2016-08-17,912608.2859942708
2016-08-18,1005863.2292835267
2016-08-19,1067827.79320907
2016-08-20,1137023.5756735357
2016-08-21,1139539.279269534
2016-08-22,1153747.4048488077
2016-08-23,1112878.1352914518
2016-08-24,1046392.7318665158
2016-08-25,1050434.5268924157
2016-08-26,958711.8035365262
2016-08-27,974053.678390665
2016-08-28,1121779.0088729432
2016-08-29,1195723.1124499212
2016-08-30,1106775.7458879845
2016-08-31,1073906.4038155826
2016-09-01,1037916.1038412225
2016-09-02,1130674.557766535
2016-09-03,1019352.063443922
2016-09-04,1139097.0116465143
2016-09-05,1197255.110674846
2016-09-06,1022679.0116243908
2016-09-07,1105819.325117348
2016-09-08,1102481.1570481537
2016-09-09,1062998.5163690713
2016-09-10,1112082.088414211
2016-09-11,1178830.985643268
2016-09-12,1325892.9216635718
2016-09-13,1177271.730208335
2016-09-14,1243079.0591169528
