Date,Value
2021-12-20,1.7087257601315E+20
2021-12-21,1.8465526325065E+20
2021-12-22,1.8268486101617E+20
2021-12-23,1.8438278389909E+20
2021-12-24,1.8096690447757E+20
2021-12-25,1.8358154263982E+20
2021-12-26,1.7007938269097E+20
2021-12-27,1.6868695840772E+20
2021-12-28,1.7250295535368E+20
2021-12-29,1.7006587978375E+20
2021-12-30,1.6525785708406E+20
2021-12-31,1.5516647820997E+20
Total,5.33E+22
