Date,Emissions(g)
2018-01-20,2464.6894699233
2018-01-21,2669.6767510672
2018-01-22,2636.1200296737998
2018-01-23,3059.031885247
2018-01-24,2487.7513955112
2018-01-25,3140.223794451
2018-01-26,2932.0120366299
2018-01-27,2977.7442539210997
2018-01-28,3037.1699604316
2018-01-29,3010.3095695603
2018-01-30,3631.8473023193
2018-01-31,2566.8694620758
2018-02-01,3507.8682399272
2018-02-02,2702.0805938444
2018-02-03,2818.3258009579
2018-02-04,3094.1238481694
2018-02-05,2630.8676706052997
2018-02-06,3051.1711820941
2018-02-07,3043.7034074856
2018-02-08,3776.02591423
2018-02-09,3267.5154458923
2018-02-10,4064.2242870211003
2018-02-11,3729.4063221039
2018-02-12,4039.2831300485
2018-02-13,3359.4057980846
2018-02-14,3754.2906096997
2018-02-15,3895.0508747849
2018-02-16,3931.2056977372
2018-02-17,3462.1871001570003
2018-02-18,3602.3374356743
2018-02-19,4214.153171917101
2018-02-20,3373.4721495548997
2018-02-21,3366.8477307532003
2018-02-22,3095.7330682171
2018-02-23,3214.7169792663
2018-02-24,3639.4186723402004
2018-02-25,3210.4414088737003
2018-02-26,3344.491918225
2018-02-27,2936.7840797642
2018-02-28,3263.473547212
2018-03-01,3357.8715132268003
2018-03-02,3198.5138031875
