Date,HashRate
2018-07-18,2.8519158110457E+14
2018-07-19,2.8322012225308E+14
2018-07-20,2.8472350109736E+14
2018-07-21,2.6419559472943E+14
2018-07-22,2.6318242759433E+14
2018-07-23,2.8118716586972E+14
2018-07-24,3.1326718854549E+14
2018-07-25,2.7883311733719E+14
2018-07-26,3.0302316739373E+14
2018-07-27,3.0406344959614E+14
2018-07-28,2.841884718193E+14
2018-07-29,3.0675729986950E+14
2018-07-30,2.8125345660897E+14
2018-07-31,2.4552694356004E+14
2018-08-01,252499090812310
2018-08-02,2.6938388152831E+14
2018-08-03,2.6011092771253E+14
2018-08-04,2.5886050898364E+14
2018-08-05,2.6471857566408E+14
2018-08-06,2.701577019004E+14
2018-08-07,2.8733608094557E+14
2018-08-08,2.6502510886296E+14
2018-08-09,2.8530070496148E+14
2018-08-10,2.8935437204998E+14
2018-08-11,2.5292222135182E+14
2018-08-12,2.4492544217426E+14
2018-08-13,2.629840067764E+14
2018-08-14,2.376526780316E+14
2018-08-15,2.5615135660282E+14
2018-08-16,2.4406831215511E+14
2018-08-17,2.3168490660033E+14
2018-08-18,2.4913836953684E+14
2018-08-19,2.4910250047521E+14
2018-08-20,2.5885705032887E+14
2018-08-21,2.5884912593093E+14
2018-08-22,2.500964450573E+14
2018-08-23,2.5621557903439E+14
2018-08-24,2.4938649156766E+14
2018-08-25,2.6144774173381E+14
2018-08-26,2.5213694712548E+14
2018-08-27,2.439923739646E+14
2018-08-28,2.445547574451E+14
2018-08-29,2.5071213221826E+14
2018-08-30,2.5825551390256E+14
2018-08-31,2.4896372502405E+14
2018-09-01,2.6065885210249E+14
2018-09-02,2.4358663819354E+14
2018-09-03,2.4719832772229E+14
2018-09-04,2.5898654869489E+14
2018-09-05,2.5700470869016E+14
2018-09-06,2.5914699166004E+14
2018-09-07,2.4110694079815E+14
2018-09-08,2.4729463663212E+14
2018-09-09,2.5150940178538E+14
2018-09-10,2.5150395454046E+14
2018-09-11,2.514117317173E+14
2018-09-12,2.6302756499116E+14
2018-09-13,2.402344308835E+14
2018-09-14,2.6088217984546E+14
2018-09-15,2.5675653313211E+14
2018-09-16,2.5369322039367E+14
2018-09-17,2.4399766203092E+14
2018-09-18,2.5555314407179E+14
2018-09-19,2.4911077405726E+14
2018-09-20,2.3601555305149E+14
2018-09-21,2.607255833321E+14
2018-09-22,2.7036081142237E+14
2018-09-23,2.6919960331601E+14
2018-09-24,2.6357481867592E+14
2018-09-25,2.5708653794218E+14
2018-09-26,2.5271944405783E+14
2018-09-27,2.4632049449959E+14
2018-09-28,2.69259773258E+14
2018-09-29,2.5863689194585E+14
2018-09-30,258500758663422
2018-10-01,2.69598615304E+14
2018-10-02,2.5777791090498E+14
2018-10-03,2.5234664199309E+14
2018-10-04,2.4257660312109E+14
2018-10-05,2.3327795712522E+14
2018-10-06,2.5304259969786E+14
2018-10-07,2.5543019384192E+14
2018-10-08,2.6020765990524E+14
2018-10-09,2.5393864280102E+14
2018-10-10,2.5708117231817E+14
2018-10-11,2.5231669817458E+14
2018-10-12,2.6140371092664E+14
2018-10-13,2.4935998807318E+14
2018-10-14,2.5736046347788E+14
2018-10-15,2.7379973171259E+14
2018-10-16,2.5761332290720E+14
2018-10-17,2.5254664156052E+14
2018-10-18,2.6297072750614E+14
2018-10-19,2.5124419312121E+14
2018-10-20,2.378686185849E+14
2018-10-21,2.4936245547566E+14
2018-10-22,2.5308314489534E+14
2018-10-23,2.5694882983448E+14
2018-10-24,2.4414713464454E+14
2018-10-25,2.3819334363081E+14
2018-10-26,2.1917905714054E+14
2018-10-27,2.266235915327E+14
2018-10-28,2.4355616257847E+14
2018-10-29,2.4329405175922E+14
2018-10-30,2.4493807834068E+14
2018-10-31,2.3163751413339E+14
2018-11-01,2.4087805775545E+14
2018-11-02,2.2710185950629E+14
2018-11-03,2.2324424951137E+14
2018-11-04,2.3500677830944E+14
2018-11-05,2.5181001280187E+14
2018-11-06,2.395870364654E+14
2018-11-07,2.3500969638954E+14
2018-11-08,2.4517234632493E+14
2018-11-09,233213976171658
2018-11-10,2.2696711730115E+14
2018-11-11,2.3079741125317E+14
2018-11-12,2.3579664371126E+14
2018-11-13,2.3619184007151E+14
