Date,HashRate
2015-05-03,93909395462
2015-05-04,100585651191
2015-05-05,86620179453
2015-05-06,93772567102
2015-05-07,85340438575
2015-05-08,93299401709
2015-05-09,82854615959
2015-05-10,84387750638
2015-05-11,86920059027
2015-05-12,92766056907
2015-05-13,89619665492
2015-05-14,93101540948
2015-05-15,95449514910
2015-05-16,99983236590
2015-05-17,103535284634
2015-05-18,87979455042
2015-05-19,88362410396
2015-05-20,82969426856
2015-05-21,75235459451
2015-05-22,81964330943
2015-05-23,87996450605
2015-05-24,87175638769
2015-05-25,83078451650
2015-05-26,85464418249
2015-05-27,82676323404
2015-05-28,81810306883
2015-05-29,82945927914
2015-05-30,79379494379
2015-05-31,76282587092
2015-06-01,76534554597
2015-06-02,79035568507
2015-06-03,84619231371
2015-06-04,77495978818
2015-06-05,83000754706
2015-06-06,80323645298
2015-06-07,79433686614
2015-06-08,76744021755
2015-06-09,72916688892
2015-06-10,76253112763
2015-06-11,72418713435
2015-06-12,69514380088
2015-06-13,70805067428
2015-06-14,77253862594
2015-06-15,70705472122
2015-06-16,71241635190
2015-06-17,72800470635
2015-06-18,73962852445
2015-06-19,72591611413
2015-06-20,76876621725
2015-06-21,75413589780
2015-06-22,75955037269
2015-06-23,71100876237
2015-06-24,52727143784
2015-06-25,55672129976
2015-06-26,56838806035
2015-06-27,52168367388
2015-06-28,55990871022
2015-06-29,58883627136
2015-06-30,56713889059
2015-07-01,55320126774
2015-07-02,55955910620
2015-07-03,55329698588
2015-07-04,54111589562
2015-07-05,57835655926
2015-07-06,52706090828
2015-07-07,54567401471
2015-07-08,58216163677
2015-07-09,55543183429
2015-07-10,58942934338
2015-07-11,59302268335
2015-07-12,60499940946
2015-07-13,60670214454
2015-07-14,56981120809
2015-07-15,59128831840
2015-07-16,64601162732
2015-07-17,69607330003
2015-07-18,70551958556
2015-07-19,70726523593
2015-07-20,69997937832
2015-07-21,73430590218
2015-07-22,74139770687
2015-07-23,79757806856
2015-07-24,76889443281
2015-07-25,73746129597
2015-07-26,74846941577
2015-07-27,77688086888
2015-07-28,75759664915
2015-07-29,69783950924
2015-07-30,80900221272
2015-07-31,75150730456
2015-08-01,70292941238
2015-08-02,71098030265
2015-08-03,73815147685
2015-08-04,69560476577
2015-08-05,71795243639
2015-08-06,74751159111
2015-08-07,69183376967
2015-08-08,68086849298
2015-08-09,73058563652
2015-08-10,68471101283
2015-08-11,68388067200
2015-08-12,67476787826
2015-08-13,67888895644
2015-08-14,70538500356
2015-08-15,71066641376
2015-08-16,67036275054
2015-08-17,71211060010
2015-08-18,65719255605
2015-08-19,70123662509
2015-08-20,68529418266
2015-08-21,69210445788
2015-08-22,68778745137
2015-08-23,66265958999
2015-08-24,67305449049
2015-08-25,68226189134
2015-08-26,66871937693
2015-08-27,61753038055
2015-08-28,67447774139
2015-08-29,59578786977
2015-08-30,64134321469
2015-08-31,68226416690
2015-09-01,65349725993
2015-09-02,70304099051
2015-09-03,64282125928
2015-09-04,66746086330
2015-09-05,66598242022
2015-09-06,69265158045
2015-09-07,66522863148
2015-09-08,59669584771
2015-09-09,64003747588
2015-09-10,61307846401
2015-09-11,63099764781
2015-09-12,65633189859
2015-09-13,64033195788
2015-09-14,62064894241
2015-09-15,69486361310
2015-09-16,69688807235
2015-09-17,66731740149
2015-09-18,72740449270
2015-09-19,67989156448
2015-09-20,71307790805
2015-09-21,70080099291
2015-09-22,60400916536
2015-09-23,69158798309
2015-09-24,61691390718
2015-09-25,64232489415
2015-09-26,67600743564
2015-09-27,68742255152
2015-09-28,71264274585
2015-09-29,63203576078
2015-09-30,59731752071
2015-10-01,62023259152
2015-10-02,57390801206
2015-10-03,56385733276
2015-10-04,57154014891
2015-10-05,58834939569
2015-10-06,56833747226
2015-10-07,57546749853
2015-10-08,55789058356
2015-10-09,59230379550
2015-10-10,56742373196
2015-10-11,57568538911
2015-10-12,60698058269
2015-10-13,66347550245
2015-10-14,65353571139
2015-10-15,64037838478
2015-10-16,65043124479
2015-10-17,68044190481
2015-10-18,64866072481
2015-10-19,65986579801
2015-10-20,61635378756
2015-10-21,60137730199
2015-10-22,64650322066
2015-10-23,62809627554
2015-10-24,61995352280
2015-10-25,69240789860
2015-10-26,73052086965
2015-10-27,74974000194
2015-10-28,75051182797
2015-10-29,80255626754
2015-10-30,75726603294
2015-10-31,72827072898
2015-11-01,79440622488
2015-11-02,73820249578
2015-11-03,77073991081
2015-11-04,81566727195
2015-11-05,76978545043
2015-11-06,82130431772
2015-11-07,80632836515
2015-11-08,89000628849
2015-11-09,87356360102
2015-11-10,99208908452
2015-11-11,90198612211
2015-11-12,98180690162
2015-11-13,108201074034
2015-11-14,107214438300
2015-11-15,120317209106
2015-11-16,112424349396
2015-11-17,115088025430
2015-11-18,120189373355
2015-11-19,119864964161
2015-11-20,96143278782
2015-11-21,103821643007
2015-11-22,90348966040
2015-11-23,99807555320
2015-11-24,90399076630
2015-11-25,90306508629
2015-11-26,91308014183
2015-11-27,93075713033
2015-11-28,111706656840
2015-11-29,110342408745
2015-11-30,114093947300
2015-12-01,109092535353
2015-12-02,108485963248
2015-12-03,110176914205
2015-12-04,103519374949
2015-12-05,108153059839
2015-12-06,117777052707
2015-12-07,100366214018
2015-12-08,104854292627
2015-12-09,93542868887
2015-12-10,95790605486
2015-12-11,92611500772
